"","household_id","region","adults","children","household_size","receives_support","weekly_income","weekly_rent","income_2025","income_2026"
"115",115,"Capital city",3,2,5,"Yes",1527,594,1462,1552
"116",116,"Capital city",2,0,2,"No",1088,666,1004,964
"117",117,"Capital city",3,1,4,"No",1634,618,1551,1720
"118",118,"Regional",3,3,6,"No",1709,526,1590,1699
"119",119,"Capital city",2,0,2,"No",1921,902,1915,1994
"120",120,"Capital city",1,1,2,"No",832,406,809,959
"121",121,"Regional",2,0,2,"No",2511,640,2423,2383
"122",122,"Regional",2,1,3,"No",1531,560,1425,1442
"123",123,"Capital city",2,0,2,"No",902,426,853,1119
"124",124,"Capital city",1,0,1,"No",1589,549,1465,1271
"125",125,"Capital city",3,1,4,"No",1919,796,1951,2056
"126",126,"Regional",1,1,2,"No",1429,512,1450,1705
"127",127,"Capital city",3,0,3,"No",1854,719,1743,1988
"128",128,"Capital city",1,0,1,"No",1612,636,1580,1445
"129",129,"Capital city",1,0,1,"Yes",1846,698,1769,1692
"130",130,"Regional",2,1,3,"Yes",661,321,639,818
"131",131,"Regional",2,2,4,"No",1712,566,1642,1481
"132",132,"Regional",2,1,3,"No",1882,719,1819,2014
"133",133,"Regional",2,2,4,"No",1519,501,1445,1534
"134",134,"Capital city",3,0,3,"No",1196,354,1119,988
"135",135,"Regional",2,0,2,"Yes",1369,552,1359,1204
"136",136,"Regional",1,2,3,"No",1154,381,1112,1091
"137",137,"Capital city",4,1,5,"No",1665,667,1651,1908
"138",138,"Regional",1,0,1,"No",1201,632,1130,1272
"139",139,"Capital city",1,0,1,"Yes",1554,693,1515,1668
"140",140,"Capital city",2,1,3,"No",1505,630,1463,1338
"141",141,"Regional",2,0,2,"No",1048,287,1002,867
"142",142,"Regional",2,2,4,"No",916,214,886,935
"143",143,"Regional",1,0,1,"No",2151,653,2121,1989
"144",144,"Capital city",1,0,1,"No",1101,496,1111,1374
"145",145,"Regional",2,2,4,"No",2248,779,2276,2334
"146",146,"Capital city",2,1,3,"No",2946,958,2937,3213
"147",147,"Capital city",2,1,3,"No",1907,812,1881,1834
"148",148,"Capital city",1,1,2,"No",2009,737,2002,2150
"149",149,"Regional",2,2,4,"Yes",1199,347,1182,1590
"150",150,"Regional",1,0,1,"No",866,290,828,642
"151",151,"Regional",2,0,2,"Yes",3361,1087,3210,3122
"152",152,"Regional",2,2,4,"No",1187,409,1117,1253
"153",153,"Capital city",2,2,4,"Yes",1051,428,996,1129
"154",154,"Regional",2,1,3,"No",1080,221,1003,856
"155",155,"Capital city",2,3,5,"Yes",2635,975,2570,2887
"156",156,"Capital city",4,3,7,"No",1907,700,1844,1529
"157",157,"Capital city",4,0,4,"No",1088,266,1005,1157
"158",158,"Capital city",2,0,2,"Yes",1025,324,977,926
"159",159,"Regional",4,2,6,"No",1127,256,1095,1042
"160",160,"Capital city",1,2,3,"No",2228,798,2209,2201
"161",161,"Capital city",2,1,3,"No",2551,888,2601,2706
"162",162,"Capital city",2,1,3,"No",1229,417,1175,1095
"163",163,"Capital city",2,0,2,"No",3140,1229,3081,3308
"164",164,"Capital city",2,1,3,"No",1124,538,1087,1054
"165",165,"Capital city",1,2,3,"No",2006,665,1990,1964
"166",166,"Capital city",2,1,3,"No",2635,1149,2482,2502
"167",167,"Regional",1,1,2,"No",1365,332,1259,1593
"168",168,"Regional",2,1,3,"Yes",1370,445,1318,1400
"169",169,"Regional",2,3,5,"No",1925,544,1778,2016
"170",170,"Capital city",1,2,3,"No",2110,861,2022,2162
"171",171,"Capital city",1,0,1,"Yes",977,406,986,1291
"172",172,"Capital city",1,0,1,"No",1723,759,1612,1574
"173",173,"Regional",2,2,4,"No",1132,406,1127,1065
"174",174,"Capital city",2,0,2,"No",1950,810,1984,2200
"175",175,"Capital city",2,2,4,"No",1695,597,1673,1586
"176",176,"Capital city",1,3,4,"No",1568,595,1551,1626
"177",177,"Capital city",2,0,2,"No",1459,652,1370,1485
"178",178,"Regional",2,3,5,"No",1582,468,1529,1870
"179",179,"Capital city",2,0,2,"No",1479,655,1369,1309
"180",180,"Regional",2,2,4,"No",1942,491,1870,2277
"181",181,"Capital city",2,0,2,"No",1512,641,1498,1366
"182",182,"Regional",2,1,3,"Yes",1641,838,1611,1599
"183",183,"Capital city",2,1,3,"No",1783,676,1710,1806
"184",184,"Regional",4,3,7,"No",2393,851,2276,2561
"185",185,"Capital city",1,0,1,"Yes",978,435,917,992
"186",186,"Capital city",4,0,4,"Yes",944,314,954,808
"187",187,"Capital city",1,1,2,"No",1409,640,1355,1326
"188",188,"Capital city",2,1,3,"No",2184,746,2186,2420
"189",189,"Capital city",2,2,4,"Yes",1721,770,1697,1814
"190",190,"Capital city",3,0,3,"Yes",1659,669,1564,1635
"191",191,"Capital city",2,0,2,"No",1335,593,1300,1461
"192",192,"Capital city",1,3,4,"No",1833,989,1695,1844
"193",193,"Regional",2,0,2,"Yes",2311,671,2262,2436
"194",194,"Regional",3,0,3,"No",1838,576,1832,1711
"195",195,"Capital city",2,1,3,"Yes",969,545,980,722
"196",196,"Regional",2,1,3,"No",1827,643,1822,1791
"197",197,"Regional",3,1,4,"Yes",1239,327,1161,1299
"198",198,"Regional",2,3,5,"No",1932,624,1803,1688
"199",199,"Capital city",2,0,2,"No",1285,425,1233,1378
"200",200,"Regional",2,2,4,"No",1281,471,1285,1131
"201",201,"Regional",1,4,5,"Yes",832,210,804,998
"202",202,"Regional",2,0,2,"No",1761,622,1714,2067
"203",203,"Regional",3,0,3,"No",1281,441,1249,1179
"204",204,"Regional",2,0,2,"Yes",730,219,722,801
"205",205,"Regional",2,2,4,"No",1871,618,1795,1731
"206",206,"Capital city",1,0,1,"Yes",1170,513,1078,1408
"207",207,"Capital city",2,1,3,"No",2130,877,1960,1888
"208",208,"Capital city",2,0,2,"No",771,330,711,720
"209",209,"Regional",2,0,2,"No",2773,718,2827,2844
"210",210,"Capital city",2,1,3,"No",1611,462,1513,1730
"211",211,"Regional",2,1,3,"No",2225,628,2166,2278
"212",212,"Regional",2,0,2,"No",2304,715,2175,2522
"213",213,"Capital city",2,2,4,"No",1641,661,1556,1569
"214",214,"Regional",1,3,4,"No",1822,688,1704,1977
"215",215,"Capital city",3,3,6,"No",1848,813,1751,1647
"216",216,"Capital city",2,0,2,"Yes",2269,918,2175,2313
"217",217,"Capital city",2,2,4,"No",2055,818,2088,2063
"218",218,"Capital city",2,2,4,"No",2172,650,2013,1646
"219",219,"Regional",1,0,1,"No",1059,424,1048,829
"220",220,"Regional",3,2,5,"No",1913,584,1909,1847
"221",221,"Regional",2,2,4,"No",1207,444,1144,1617
"222",222,"Capital city",2,0,2,"No",2158,766,2081,2135
"223",223,"Capital city",1,1,2,"No",1391,575,1381,1659
"224",224,"Regional",2,0,2,"Yes",699,361,677,601
"225",225,"Capital city",4,0,4,"Yes",2224,716,2148,2080
"226",226,"Regional",2,0,2,"No",2142,666,1975,2231
"227",227,"Regional",2,0,2,"Yes",1313,394,1328,1536
"228",228,"Capital city",2,1,3,"Yes",1446,399,1372,1462
"229",229,"Regional",2,0,2,"No",1044,332,998,1255
"230",230,"Regional",2,1,3,"No",2001,592,1875,1841
"231",231,"Capital city",1,1,2,"No",1885,629,1792,1899
"232",232,"Capital city",2,2,4,"No",1931,679,1814,1585
"233",233,"Capital city",1,2,3,"No",1466,706,1456,1928
"234",234,"Capital city",4,0,4,"Yes",1205,432,1210,1077
"235",235,"Regional",2,2,4,"Yes",1449,447,1358,1525
"236",236,"Regional",4,2,6,"Yes",3121,757,2897,2880
"237",237,"Capital city",2,2,4,"No",1807,589,1727,1736
"238",238,"Capital city",2,4,6,"No",1354,533,1280,1529
"239",239,"Regional",2,4,6,"No",1960,588,1856,1828
"240",240,"Capital city",2,0,2,"No",2534,1101,2485,2381
"241",241,"Capital city",3,0,3,"No",1167,338,1085,1054
"242",242,"Capital city",2,2,4,"Yes",1945,782,1956,1889
"243",243,"Regional",2,3,5,"Yes",1263,388,1230,1255
"244",244,"Capital city",2,0,2,"No",1150,505,1091,1180
"245",245,"Regional",1,2,3,"Yes",905,344,895,1072
"246",246,"Regional",2,0,2,"No",562,323,573,404
"247",247,"Regional",2,3,5,"No",1446,395,1431,1408
"248",248,"Regional",2,2,4,"No",1497,601,1394,1594
"249",249,"Regional",3,2,5,"Yes",2895,960,2760,2863
"250",250,"Regional",1,4,5,"Yes",1458,293,1465,1595
"251",251,"Capital city",2,2,4,"No",2114,489,2049,2130
"252",252,"Capital city",2,1,3,"No",2074,914,2107,2056
"253",253,"Regional",2,4,6,"No",964,197,982,1022
"254",254,"Capital city",2,0,2,"No",1204,425,1169,1276
"255",255,"Capital city",3,1,4,"No",3550,1356,3525,3690
"256",256,"Regional",2,0,2,"No",2610,830,2426,2480
"257",257,"Capital city",3,0,3,"No",1195,461,1211,1135
"258",258,"Capital city",2,4,6,"No",1402,609,1335,1490
"259",259,"Capital city",3,3,6,"No",2642,962,2620,2595
"260",260,"Capital city",2,0,2,"No",1214,561,1175,1339
"261",261,"Capital city",2,3,5,"No",1392,396,1312,1551
"262",262,"Regional",1,0,1,"No",1186,208,1176,1207
"263",263,"Capital city",2,2,4,"No",2763,1021,2630,2285
"264",264,"Capital city",3,0,3,"No",1927,868,1945,2042
"265",265,"Regional",2,0,2,"No",856,386,842,1020
"266",266,"Capital city",2,1,3,"No",1327,578,1314,1569
"267",267,"Capital city",1,0,1,"No",1439,534,1339,1380
"268",268,"Regional",2,0,2,"No",1594,579,1500,1710
"269",269,"Capital city",2,3,5,"No",2076,775,2001,2179
"270",270,"Capital city",3,0,3,"Yes",1260,237,1172,1023
"271",271,"Capital city",4,0,4,"No",795,366,774,862
"272",272,"Capital city",1,1,2,"Yes",2312,897,2192,2383
"273",273,"Regional",1,2,3,"No",1576,470,1553,1535
"274",274,"Capital city",2,3,5,"No",3053,1291,3066,3295
"275",275,"Capital city",2,0,2,"No",2796,901,2656,2431
"276",276,"Capital city",2,0,2,"Yes",906,455,912,1226
"277",277,"Capital city",1,0,1,"No",1749,728,1634,1717
"278",278,"Capital city",2,1,3,"No",1310,543,1252,1314
"279",279,"Capital city",1,0,1,"No",1526,638,1490,1526
"280",280,"Capital city",1,1,2,"Yes",1654,478,1654,1505
"281",281,"Capital city",2,2,4,"Yes",934,367,900,911
"282",282,"Capital city",2,4,6,"No",3150,1119,3197,3226
"283",283,"Capital city",2,2,4,"No",1355,658,1335,1407
"284",284,"Regional",2,0,2,"No",1955,594,1808,1992
"285",285,"Regional",1,0,1,"No",689,414,658,648
"286",286,"Capital city",2,3,5,"No",1599,690,1573,1749
"287",287,"Capital city",2,2,4,"No",3227,1132,3032,3163
"288",288,"Capital city",3,0,3,"No",1941,622,1857,1686
"289",289,"Capital city",2,0,2,"No",1242,464,1230,996
"290",290,"Capital city",1,0,1,"Yes",1132,516,1045,937
"291",291,"Regional",2,1,3,"No",2164,559,2030,1874
"292",292,"Capital city",3,0,3,"Yes",2302,886,2338,2437
"293",293,"Regional",4,0,4,"No",1785,566,1773,1767
"294",294,"Capital city",1,1,2,"Yes",1420,673,1417,1316
"295",295,"Regional",2,3,5,"No",665,154,669,632
"296",296,"Capital city",1,0,1,"No",2849,958,2720,2774
"297",297,"Regional",2,1,3,"No",1038,541,1053,1148
"298",298,"Capital city",2,0,2,"No",1779,659,1762,1895
"299",299,"Capital city",2,3,5,"No",1352,634,1324,1344
"300",300,"Regional",2,1,3,"Yes",830,313,772,765
"301",301,"Capital city",2,0,2,"No",2291,927,2292,2368
"302",302,"Capital city",2,0,2,"No",1511,734,1512,1334
"303",303,"Capital city",2,4,6,"No",1725,449,1722,1872
"304",304,"Capital city",3,2,5,"No",1526,517,1522,1985
"305",305,"Capital city",2,1,3,"No",2419,1018,2327,2310
"306",306,"Regional",2,1,3,"Yes",757,406,753,597
"307",307,"Regional",1,1,2,"Yes",537,246,531,668
"308",308,"Capital city",2,0,2,"Yes",1246,529,1194,1166
"309",309,"Regional",1,0,1,"No",748,238,745,725
"310",310,"Capital city",2,0,2,"No",1480,594,1498,1451
"311",311,"Regional",1,3,4,"No",783,210,732,930
"312",312,"Capital city",2,0,2,"No",2152,930,2020,1892
"313",313,"Capital city",1,1,2,"No",986,482,977,727
"314",314,"Regional",1,0,1,"No",1710,489,1714,1743
"315",315,"Capital city",2,4,6,"No",1581,627,1529,1565
"316",316,"Regional",2,3,5,"No",4314,1196,4329,4190
"317",317,"Capital city",3,0,3,"No",2821,1100,2837,2974
"318",318,"Regional",2,1,3,"No",1285,395,1287,1164
"319",319,"Capital city",2,2,4,"Yes",1712,658,1695,1707
"320",320,"Regional",2,0,2,"No",1998,665,2018,2246
"321",321,"Regional",1,1,2,"Yes",1245,160,1159,1323
"322",322,"Capital city",2,2,4,"No",1921,567,1810,1796
"323",323,"Regional",3,2,5,"No",2077,640,2093,2153
"324",324,"Capital city",3,1,4,"No",1931,744,1929,1779
"325",325,"Capital city",1,0,1,"Yes",1871,752,1875,1924
"326",326,"Capital city",2,0,2,"No",1031,352,1050,1260
"327",327,"Regional",2,0,2,"No",1461,470,1431,1836
"328",328,"Capital city",2,2,4,"No",2587,876,2426,2361
"329",329,"Capital city",3,2,5,"No",2109,660,2140,2305
"330",330,"Capital city",3,2,5,"No",2167,672,2056,1755
"331",331,"Capital city",2,0,2,"No",1326,532,1255,1018
"332",332,"Regional",3,2,5,"No",1201,334,1144,1220
"333",333,"Capital city",4,0,4,"Yes",2169,642,2184,2200
"334",334,"Capital city",2,1,3,"Yes",1634,615,1520,1683
"335",335,"Capital city",2,0,2,"No",937,301,865,966
"336",336,"Capital city",2,2,4,"Yes",1389,482,1326,1222
"337",337,"Capital city",3,0,3,"No",1200,477,1186,1306
"338",338,"Capital city",2,0,2,"Yes",1061,185,1051,1468
"339",339,"Capital city",2,3,5,"Yes",1265,460,1185,1209
"340",340,"Capital city",2,0,2,"Yes",1173,421,1194,1076
"341",341,"Regional",2,2,4,"No",1549,501,1458,1517
"342",342,"Capital city",2,2,4,"No",2082,886,2065,2389
"343",343,"Regional",2,2,4,"No",1230,514,1195,1109
"344",344,"Regional",2,0,2,"No",1749,612,1762,1803
"345",345,"Capital city",2,0,2,"Yes",1707,787,1727,1858
"346",346,"Capital city",2,0,2,"No",1489,620,1406,1211
"347",347,"Capital city",4,1,5,"No",2169,666,2169,2213
"348",348,"Regional",2,0,2,"No",996,391,981,1068
"349",349,"Regional",1,0,1,"Yes",953,326,893,1146
"350",350,"Regional",3,2,5,"No",958,471,944,1164
"351",351,"Capital city",2,0,2,"No",2238,876,2275,2305
"352",352,"Regional",1,2,3,"Yes",817,298,768,947
"353",353,"Regional",2,2,4,"No",1247,374,1209,1239
"354",354,"Capital city",2,1,3,"No",828,264,792,881
"355",355,"Capital city",2,1,3,"No",1665,475,1667,1559
"356",356,"Capital city",3,3,6,"No",2116,707,2067,2138
"357",357,"Regional",2,1,3,"No",1777,572,1772,1740
"358",358,"Capital city",4,1,5,"No",1376,559,1357,1295
"359",359,"Regional",2,0,2,"No",1933,706,1881,2052
"360",360,"Capital city",3,2,5,"No",2064,763,1993,2107
"361",361,"Capital city",2,3,5,"No",1978,608,1898,2116
"362",362,"Regional",2,1,3,"No",1791,568,1675,1523
"363",363,"Regional",2,0,2,"Yes",1485,464,1452,1188
"364",364,"Capital city",2,4,6,"No",2901,1037,2952,2850
"365",365,"Regional",2,0,2,"No",1424,465,1347,1324
"366",366,"Capital city",2,0,2,"Yes",1299,528,1286,1367
"367",367,"Capital city",3,1,4,"Yes",1075,330,1030,834
"368",368,"Capital city",4,0,4,"Yes",1264,396,1247,1381
"369",369,"Capital city",2,0,2,"No",2855,1073,2838,3026
"370",370,"Regional",2,1,3,"No",966,397,940,796
"371",371,"Capital city",2,2,4,"No",2117,869,1996,1953
"372",372,"Capital city",3,0,3,"Yes",1832,731,1751,1715
"373",373,"Regional",2,0,2,"No",1360,524,1330,1556
"374",374,"Capital city",2,2,4,"No",2516,807,2537,2565
"375",375,"Regional",2,1,3,"No",3003,1017,2865,2974
"376",376,"Capital city",1,1,2,"Yes",1429,401,1359,1244
"377",377,"Capital city",2,3,5,"No",3812,1399,3860,3962
"378",378,"Capital city",2,0,2,"No",1860,712,1858,1793
"379",379,"Capital city",1,1,2,"No",2054,782,1931,1978
"380",380,"Capital city",3,0,3,"No",946,120,915,691
"381",381,"Capital city",2,2,4,"No",2983,1016,2807,3110
"382",382,"Regional",3,0,3,"Yes",580,160,574,698
"383",383,"Regional",3,3,6,"No",1202,475,1129,1243
"384",384,"Capital city",3,1,4,"No",1025,397,974,1186
"385",385,"Capital city",2,1,3,"Yes",1218,493,1165,1326
"386",386,"Capital city",2,0,2,"No",1825,813,1704,1703
"387",387,"Capital city",2,1,3,"No",2403,850,2301,2341
"388",388,"Capital city",3,2,5,"Yes",1796,795,1690,1865
"389",389,"Capital city",2,1,3,"No",1363,536,1334,1315
"390",390,"Regional",2,2,4,"Yes",2412,619,2230,2204
"391",391,"Regional",1,1,2,"No",584,311,586,933
"392",392,"Regional",2,0,2,"Yes",770,464,726,487
"393",393,"Regional",2,2,4,"No",1753,584,1708,1913
"394",394,"Capital city",2,2,4,"Yes",874,598,863,945
"395",395,"Capital city",1,0,1,"Yes",1194,504,1106,1213
"396",396,"Capital city",2,2,4,"No",2749,1072,2618,2579
"397",397,"Regional",2,0,2,"No",2192,739,2025,2169
"398",398,"Regional",1,1,2,"Yes",810,163,805,1111
"399",399,"Regional",2,1,3,"No",1163,451,1154,1368
"400",400,"Regional",2,0,2,"Yes",857,289,813,1054
"401",401,"Regional",3,0,3,"No",1427,482,1441,1483
"402",402,"Capital city",2,0,2,"No",1664,690,1571,1775
"403",403,"Regional",3,0,3,"No",1282,447,1301,1441
"404",404,"Capital city",2,2,4,"No",2256,898,2258,1968
"405",405,"Capital city",2,0,2,"No",2194,1012,2155,2305
"406",406,"Regional",2,1,3,"Yes",724,172,682,929
"407",407,"Regional",1,1,2,"No",1745,690,1743,1741
"408",408,"Regional",3,1,4,"No",1858,485,1860,1895
"409",409,"Regional",2,2,4,"No",2064,553,1930,1769
"410",410,"Capital city",2,3,5,"No",3679,1362,3462,3324
"411",411,"Capital city",2,1,3,"No",1668,752,1620,1560
"412",412,"Capital city",2,1,3,"No",1647,589,1527,1346
"413",413,"Capital city",2,0,2,"No",948,196,963,1086
"414",414,"Regional",1,0,1,"No",1155,223,1101,936
"415",415,"Regional",1,2,3,"No",1139,447,1129,1329
"416",416,"Regional",2,2,4,"No",2488,787,2404,2289
"417",417,"Capital city",4,2,6,"Yes",2235,808,2263,2348
"418",418,"Capital city",2,0,2,"Yes",1822,578,1851,2084
"419",419,"Regional",2,4,6,"Yes",956,335,937,1020
"420",420,"Capital city",2,0,2,"Yes",1584,607,1606,1854
"421",421,"Regional",2,3,5,"No",2016,722,1871,2022
"422",422,"Regional",2,0,2,"Yes",1153,365,1150,1282
"423",423,"Capital city",1,3,4,"No",1901,699,1853,1713
"424",424,"Capital city",2,1,3,"Yes",830,428,840,960
"425",425,"Regional",2,0,2,"No",1442,414,1439,1591
"426",426,"Capital city",2,1,3,"No",1685,852,1565,1635
"427",427,"Regional",3,1,4,"No",1121,267,1074,1165
"428",428,"Regional",1,1,2,"No",1440,517,1459,1393
"429",429,"Capital city",2,1,3,"No",2633,987,2610,2514
"430",430,"Capital city",2,0,2,"Yes",1663,884,1578,1710
"431",431,"Capital city",1,0,1,"No",935,343,861,997
"432",432,"Capital city",2,3,5,"Yes",2174,992,2013,2095
"433",433,"Capital city",2,1,3,"No",1057,332,1011,1348
"434",434,"Capital city",2,2,4,"Yes",1457,609,1411,1474
"435",435,"Capital city",2,0,2,"No",1636,704,1607,1719
"436",436,"Capital city",2,3,5,"No",3555,1267,3444,3593
"437",437,"Capital city",2,3,5,"No",1179,549,1137,1186
"438",438,"Capital city",2,4,6,"No",1479,566,1384,1506
"439",439,"Regional",2,0,2,"Yes",1492,556,1378,1577
"440",440,"Capital city",1,3,4,"No",1063,428,1061,1166
"441",441,"Capital city",1,0,1,"No",982,358,987,873
"442",442,"Capital city",2,2,4,"Yes",1420,565,1341,1226
"443",443,"Regional",4,2,6,"Yes",1313,428,1222,1120
"444",444,"Capital city",1,1,2,"No",1317,448,1337,1169
"445",445,"Regional",4,0,4,"No",1467,367,1476,1424
"446",446,"Capital city",2,1,3,"Yes",2670,832,2677,2662
"447",447,"Capital city",2,0,2,"No",1646,614,1559,1573
"448",448,"Regional",2,1,3,"No",983,136,941,1105
"449",449,"Regional",1,3,4,"No",1309,373,1236,1490
"450",450,"Regional",1,3,4,"No",2531,784,2434,2720
"451",451,"Regional",2,0,2,"No",841,323,855,860
"452",452,"Capital city",3,0,3,"No",1886,621,1778,1641
